accession	reference_length	covered_bases	reads_aligned	mean_coverage	RPKMF	sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	sample_ID	total_filtered_reads_in_sample
JX985409.1	12279	1292	11	0.12713331	0.237084	Bovine viral diarrhea virus 3 isolate CH-KaHo/cont, complete genome	381707	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pestivirus	Pestivirus H	Bovine viral diarrhea virus 3	Bovine viral diarrhea virus 3	C25	3778564
K00021.1	6296	3157	11132	232.73088	467.931	Friend spleen focus-forming virus (proviral), complete genome	11820	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Spleen focus-forming virus	Friend spleen focus-forming virus	Friend spleen focus-forming virus	C25	3778564
KC617868.1	3780	3756	749	23.981543	52.4401	Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds	1341019	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified Parvoviridae genus	Parvovirus NIH-CQV	unclassified Parvovirus NIH-CQV subspecies/strain	unclassified Parvovirus NIH-CQV strain	C25	3778564
KP087798.1	8275	3895	3789	70.78782	121.18	Murine leukemia virus NZW-1 gag-pol polyprotein and env polyprotein genes, complete cds	1615765	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus NZW-1	Murine leukemia virus NZW-1	C25	3778564
KU324802.1	8203	8138	48305	807.03503	1558.45	Murine leukemia virus CasE 1, complete genome	458105	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus CasE#1	Murine leukemia virus CasE#1	C25	3778564
KU936049.1	137452	1202	167	0.22650799	0.321543	Bubaline alphaherpesvirus 1 strain b6, complete genome	202910	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Varicellovirus	Bubaline alphaherpesvirus 1	unclassified Bubaline alphaherpesvirus 1 subspecies/strain	unclassified Bubaline alphaherpesvirus 1 strain	C25	3778564
KY484771.1	8673	1613	255	4.163323	7.78115	Porcine endogenous retrovirus A gag-pol polyprotein and env protein genes, complete cds	194958	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Porcine type-C oncovirus	Porcine endogenous retrovirus A	Porcine endogenous retrovirus A	C25	3778564
KY574504.1	8275	6472	33984	514.66705	1086.88	Murine leukemia virus isolate AKR13, complete genome	11786	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	unclassified Murine leukemia virus subspecies/strain	unclassified Murine leukemia virus strain	C25	3778564
LC229035.1	8359	2313	5125	94.41284	162.26	Friend murine leukemia virus (ISOLATE 57) genomic RNA, complete genome	11796	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Friend murine leukemia virus (ISOLATE 57)	Friend murine leukemia virus (ISOLATE 57)	C25	3778564
MF118167.1	3925	1401	24	0.7589404	1.61825	Human fecal virus Jorvi2, complete genome	2017081	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	unclassified Circoviridae genus	Human fecal virus Jorvi2	unclassified Human fecal virus Jorvi2 subspecies/strain	unclassified Human fecal virus Jorvi2 strain	C25	3778564
MH450109.1	8200	8123	21142	381.56982	682.347	Xenotropic murine leukemia virus isolate AKR40, complete genome	11837	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Xenotropic murine leukemia virus	Xenotropic murine leukemia virus	C25	3778564
MH698402.1	162076	1469	496	0.5638563	0.809909	Human betaherpesvirus 6B strain GTEX-OXRO_icihv6b, complete genome	32604	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human betaherpesvirus 6B	unclassified Human betaherpesvirus 6B subspecies/strain	unclassified Human betaherpesvirus 6B strain	C25	3778564
NC_001716.2	153080	1003	41	0.020610737	0.0708824	Human herpesvirus 7, complete genome	10372	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human betaherpesvirus 7	unclassified Human betaherpesvirus 7 subspecies/strain	unclassified Human betaherpesvirus 7 strain	C25	3778564
NC_007653.1	156487	1111	17	0.4858223	0.0287504	Papiine herpesvirus 2, complete genome	340907	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Simplexvirus	Papiine alphaherpesvirus 2	unclassified Papiine alphaherpesvirus 2 subspecies/strain	unclassified Papiine alphaherpesvirus 2 strain	C25	3778564
V01108.1	5153	1560	15	0.3379972	0.770379	Human BK virus (strain Dunlop) genome. (Closely related to SV40.)	1891762	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus hominis	unclassified Betapolyomavirus hominis subspecies/strain	unclassified Betapolyomavirus hominis strain	C25	3778564
NC_004162.2	11826	11826	19884874	244416.72	70398.2	Chikungunya virus, complete genome	37124	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Chikungunya virus	unclassified Chikungunya virus subspecies/strain	unclassified Chikungunya virus strain	C5	23884910
NC_035889.1	10808	1148	22	0.2928317	0.0852224	Zika virus isolate ZIKV/H. sapiens/Brazil/Natal/2015, complete genome	64320	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Zika virus	unclassified Zika virus subspecies/strain	unclassified Zika virus strain	C5	23884910
KY316160.1	34169	1391	12	0.077339135	0.0147037	Human adenovirus 41 isolate SH/2015/D16, complete genome	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41	C5	23884910
AF033807.1	8805	8757	15706	268.5747	74.6814	Mouse mammary tumor virus complete proviral genome	11757	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Betaretrovirus	Mouse mammary tumor virus	unclassified Mouse mammary tumor virus subspecies/strain	unclassified Mouse mammary tumor virus strain	C5	23884910
AF033812.1	5894	2001	508	13.363161	3.60853	Abelson murine leukemia virus, complete genome	11788	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Abelson murine leukemia virus	unclassified Abelson murine leukemia virus subspecies/strain	unclassified Abelson murine leukemia virus strain	C5	23884910
AF033813.1	5833	1940	255	9.398381	1.83031	Moloney murine sarcoma virus, complete genome	11809	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Moloney murine sarcoma virus	unclassified Moloney murine sarcoma virus subspecies/strain	unclassified Moloney murine sarcoma virus strain	C5	23884910
AF033814.1	3811	2614	908	37.955475	9.97524	Murine osteosarcoma virus, complete genome	11830	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine osteosarcoma virus	unclassified Murine osteosarcoma virus subspecies/strain	unclassified Murine osteosarcoma virus strain	C5	23884910
AF411814.1	8217	1965	1486	28.61138	7.5715	Amphotropic murine leukemia virus strain 1313, complete genome	188539	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Amphotropic murine leukemia virus	Amphotropic murine leukemia virus	C5	23884910
FJ544577.2	8183	8183	149097	2652.521	762.839	Mus musculus mobilized endogenous polytropic provirus clone 15 truncated gag-pol polyprotein (gag) and envelope protein (env) genes, complete cds	590745	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Mus musculus mobilized endogenous polytropic provirus	unclassified Mus musculus mobilized endogenous polytropic provirus subspecies/strain	unclassified Mus musculus mobilized endogenous polytropic provirus strain	C5	23884910
FR872816.1	8562	8542	42714	743.2721	208.868	XMRV complete proviral genome, isolate S-162	438045	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia-related retroviruses	Xenotropic MuLV-related virus	Xenotropic MuLV-related virus	C5	23884910
J02207.1	997	635	31	4.7827625	1.3018	harvey murine sarcoma virus p21 v-has protein gene	11807	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Harvey murine sarcoma virus	unclassified Harvey murine sarcoma virus subspecies/strain	unclassified Harvey murine sarcoma virus strain	C5	23884910
J02226.1	5130	1219	14	0.27710843	0.114258	JC virus complete genome	10632	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus secuhominis	JC polyomavirus	JC polyomavirus	C5	23884910
K00021.1	6296	2771	2512	53.53417	16.7044	Friend spleen focus-forming virus (proviral), complete genome	11820	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Spleen focus-forming virus	Friend spleen focus-forming virus	Friend spleen focus-forming virus	C5	23884910
KC617868.1	3780	3777	370	12.242424	4.09814	Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds	1341019	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified Parvoviridae genus	Parvovirus NIH-CQV	unclassified Parvovirus NIH-CQV subspecies/strain	unclassified Parvovirus NIH-CQV strain	C5	23884910
KP087798.1	8275	3251	743	14.483938	3.75922	Murine leukemia virus NZW-1 gag-pol polyprotein and env polyprotein genes, complete cds	1615765	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus NZW-1	Murine leukemia virus NZW-1	C5	23884910
KU324802.1	8203	8026	11038	184.46729	56.337	Murine leukemia virus CasE 1, complete genome	458105	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus CasE#1	Murine leukemia virus CasE#1	C5	23884910
KY484771.1	8673	1016	84	1.3345066	0.405496	Porcine endogenous retrovirus A gag-pol polyprotein and env protein genes, complete cds	194958	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Porcine type-C oncovirus	Porcine endogenous retrovirus A	Porcine endogenous retrovirus A	C5	23884910
KY574504.1	8275	6025	7542	113.330215	38.1588	Murine leukemia virus isolate AKR13, complete genome	11786	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	unclassified Murine leukemia virus subspecies/strain	unclassified Murine leukemia virus strain	C5	23884910
MF118167.1	3925	1602	24	0.73748344	0.256005	Human fecal virus Jorvi2, complete genome	2017081	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	unclassified Circoviridae genus	Human fecal virus Jorvi2	unclassified Human fecal virus Jorvi2 subspecies/strain	unclassified Human fecal virus Jorvi2 strain	C5	23884910
MH450109.1	8200	7973	4626	84.32807	23.6194	Xenotropic murine leukemia virus isolate AKR40, complete genome	11837	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Xenotropic murine leukemia virus	Xenotropic murine leukemia virus	C5	23884910
MH698402.1	162076	1227	101	0.14240456	0.0260903	Human betaherpesvirus 6B strain GTEX-OXRO_icihv6b, complete genome	32604	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human betaherpesvirus 6B	unclassified Human betaherpesvirus 6B subspecies/strain	unclassified Human betaherpesvirus 6B strain	C5	23884910
NC_004162.2	11826	11826	2008824	24522.285	46459.3	Chikungunya virus, complete genome	37124	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Chikungunya virus	unclassified Chikungunya virus subspecies/strain	unclassified Chikungunya virus strain	C14	3656213
NC_035889.1	10808	2344	55	0.755395	1.39183	Zika virus isolate ZIKV/H. sapiens/Brazil/Natal/2015, complete genome	64320	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Zika virus	unclassified Zika virus subspecies/strain	unclassified Zika virus strain	C14	3656213
AF033807.1	8805	8730	16051	272.43765	498.587	Mouse mammary tumor virus complete proviral genome	11757	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Betaretrovirus	Mouse mammary tumor virus	unclassified Mouse mammary tumor virus subspecies/strain	unclassified Mouse mammary tumor virus strain	C14	3656213
AF033812.1	5894	1809	688	17.487118	31.9262	Abelson murine leukemia virus, complete genome	11788	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Abelson murine leukemia virus	unclassified Abelson murine leukemia virus subspecies/strain	unclassified Abelson murine leukemia virus strain	C14	3656213
AF033813.1	5833	1905	253	9.822277	11.8631	Moloney murine sarcoma virus, complete genome	11809	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Moloney murine sarcoma virus	unclassified Moloney murine sarcoma virus subspecies/strain	unclassified Moloney murine sarcoma virus strain	C14	3656213
AF033814.1	3811	2668	1087	45.08877	78.0116	Murine osteosarcoma virus, complete genome	11830	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine osteosarcoma virus	unclassified Murine osteosarcoma virus subspecies/strain	unclassified Murine osteosarcoma virus strain	C14	3656213
AF411814.1	8217	2025	1965	37.28338	65.406	Amphotropic murine leukemia virus strain 1313, complete genome	188539	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Amphotropic murine leukemia virus	Amphotropic murine leukemia virus	C14	3656213
FJ544577.2	8183	8183	182613	3236.59	6103.62	Mus musculus mobilized endogenous polytropic provirus clone 15 truncated gag-pol polyprotein (gag) and envelope protein (env) genes, complete cds	590745	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Mus musculus mobilized endogenous polytropic provirus	unclassified Mus musculus mobilized endogenous polytropic provirus subspecies/strain	unclassified Mus musculus mobilized endogenous polytropic provirus strain	C14	3656213
FR872816.1	8562	8558	51559	894.3759	1647.02	XMRV complete proviral genome, isolate S-162	438045	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia-related retroviruses	Xenotropic MuLV-related virus	Xenotropic MuLV-related virus	C14	3656213
JX985409.1	12279	1615	17	0.216341	0.378664	Bovine viral diarrhea virus 3 isolate CH-KaHo/cont, complete genome	381707	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pestivirus	Pestivirus H	Bovine viral diarrhea virus 3	Bovine viral diarrhea virus 3	C14	3656213
K00021.1	6296	2646	2978	62.80117	129.368	Friend spleen focus-forming virus (proviral), complete genome	11820	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Spleen focus-forming virus	Friend spleen focus-forming virus	Friend spleen focus-forming virus	C14	3656213
KC617868.1	3780	3752	216	6.8661156	15.629	Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds	1341019	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified Parvoviridae genus	Parvovirus NIH-CQV	unclassified Parvovirus NIH-CQV subspecies/strain	unclassified Parvovirus NIH-CQV strain	C14	3656213
KP087798.1	8275	3322	997	19.738955	32.9531	Murine leukemia virus NZW-1 gag-pol polyprotein and env polyprotein genes, complete cds	1615765	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus NZW-1	Murine leukemia virus NZW-1	C14	3656213
KU324802.1	8203	8028	13550	227.21085	451.788	Murine leukemia virus CasE 1, complete genome	458105	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus CasE#1	Murine leukemia virus CasE#1	C14	3656213
KU936049.1	137452	1075	78	0.17409797	0.155207	Bubaline alphaherpesvirus 1 strain b6, complete genome	202910	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Varicellovirus	Bubaline alphaherpesvirus 1	unclassified Bubaline alphaherpesvirus 1 subspecies/strain	unclassified Bubaline alphaherpesvirus 1 strain	C14	3656213
KY484771.1	8673	1214	123	1.9928429	3.87886	Porcine endogenous retrovirus A gag-pol polyprotein and env protein genes, complete cds	194958	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Porcine type-C oncovirus	Porcine endogenous retrovirus A	Porcine endogenous retrovirus A	C14	3656213
KY574504.1	8275	6208	9276	141.10707	306.592	Murine leukemia virus isolate AKR13, complete genome	11786	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	unclassified Murine leukemia virus subspecies/strain	unclassified Murine leukemia virus strain	C14	3656213
MH450109.1	8200	7960	5787	105.49217	193.023	Xenotropic murine leukemia virus isolate AKR40, complete genome	11837	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Xenotropic murine leukemia virus	Xenotropic murine leukemia virus	C14	3656213
MH698402.1	162076	1316	357	0.36629695	0.602446	Human betaherpesvirus 6B strain GTEX-OXRO_icihv6b, complete genome	32604	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human betaherpesvirus 6B	unclassified Human betaherpesvirus 6B subspecies/strain	unclassified Human betaherpesvirus 6B strain	C14	3656213
